Voltage.EMG01_r_gastro,Voltage.EMG02_r_soleus,Voltage.EMG03_r_rect_fem,Voltage.EMG04_r_tfl,Voltage.EMG05_r_semimemb,Voltage.EMG06_l_gastro,Voltage.EMG07_l_soleus,Voltage.EMG08_l_rect_fem,Voltage.EMG09_l_tfl,Voltage.EMG10_l_semimemb,
0.03422058,0.054375917,0.018961182,0.02499298,0.017962646,0.01216919,0.051285096,0.041855775,0.042214967,0.035636902,
0.032236937,0.087334901,0.026743164,0.006072083,0.057330322,0.042076416,0.031601258,0.053605042,0.025125122,0.029075623,
0.047037963,0.063836366,0.019571533,0.015990295,0.018725585,0.047416992,0.036636658,0.024765931,0.044351198,0.038230896,
0.055125121,0.068871766,0.027506104,0.016448058,0.03932495,0.041008301,0.052810974,0.033158265,0.022683715,-0.004798889,
0.054209594,0.085503846,0.028726807,0.023161925,0.026965331,0.02803833,0.039993592,0.056046449,0.030465698,0.0104599,
0.079081424,0.106560975,0.033151854,0.011260071,0.030780029,0.025749512,0.047928162,0.027970277,0.027108764,0.031669617,
0.03711975,0.116936952,0.033151854,0.008360901,0.026660156,0.010643311,0.063186951,0.015000305,0.026345825,-0.026008606,
0.045969848,0.099999696,0.043070067,0.018736877,0.022998046,0.030632325,0.035415955,0.025071107,0.0355011,-0.056221008,
0.044291381,0.081231385,0.035135496,0.013091126,0.038409423,0.019340821,0.038009949,0.033158265,0.031991579,-0.041267395,
0.043986205,0.06932953,0.028116455,0.019042052,0.03215332,0.037651367,0.041824646,0.033616029,0.04343567,-0.010292053,
0.043070678,0.091454774,0.040018309,0.010344543,0.062518314,0.029259034,0.02778656,0.009201965,0.019174194,-0.026771545,
0.031931762,0.112664491,0.058634032,0.032622375,0.02925415,0.022850342,0.041824646,0.024002992,0.029397583,0.015647888,
0.02781189,0.129906923,0.03269409,0.026061095,-0.013623047,0.029716797,0.021683045,0.032395326,0.033059694,0.147026062,
0.033152465,0.121972352,0.032083739,0.015379944,0.025286864,0.032768555,0.049759217,0.04078766,0.033670045,0.197227478,
0.017435914,0.072076112,0.031320799,0.031554259,0.033831786,0.04039795,0.033890076,0.029496156,0.034127809,0.115745544,
0.016825562,0.006921081,0.013162842,0.030943908,0.021472167,0.063133545,0.023971863,0.027054749,0.030007934,0.049217224,
0.013163452,-0.003912659,0.029489746,0.03079132,0.035662841,0.044975586,0.034958191,0.041855775,0.031381227,0.038536072,
0.008433227,-0.031836241,0.034372557,0.037352599,0.04588623,0.042229004,0.031296082,0.046128236,0.01581726,0.014427185,
